card_sku_id,date,sales_price_max,direct_low,set_name,rarity,condition
4711249,2025-04-14,1.47,1.48,Kaldheim,R,Lightly Played
7076130,2025-04-13,7.86,7.72,Commander: March of the Machine,R,Near Mint
3043858,2025-03-17,0.79,0.79,Oath of the Gatewatch,M,Lightly Played
1278150,2025-03-27,0.88,0.87,Fate Reforged,T,Lightly Played
4270438,2025-03-30,2.52,2.99,The List Reprints,U,Near Mint
1097754,2025-03-25,1.1,1.87,Magic 2014 (M14),R,Near Mint
364590,2025-03-22,0.0,1.0,Revised Edition,R,Lightly Played
4458836,2025-04-13,1.9,2.85,Core Set 2021,R,Near Mint
7535597,2025-04-17,0.99,0.52,Commander: The Lost Caverns of Ixalan,M,Near Mint
7355808,2025-04-06,0.0,0.88,Wilds of Eldraine,R,Lightly Played Foil
6676022,2025-03-29,0.5,0.46,The Brothers' War,C,Near Mint Foil
6765955,2025-04-23,2.96,2.96,Jumpstart 2022,R,Near Mint
6928000,2025-03-12,8.97,8.8,Phyrexia: All Will Be One,M,Near Mint
1229087,2025-04-01,1.0,0.57,Magic 2015 (M15),R,Lightly Played
4660284,2025-04-08,0.0,2.49,Commander Legends,C,Near Mint Foil
4543028,2025-03-13,3.61,3.61,Zendikar Rising,R,Near Mint
